epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.97,1.70048,2.403,1.40527,0.24351,0.43494,0.21777,0.11324,1.44703,2.07515,1.38805,0.000332926,0.000332926,0.0670403
2,317.058,1.59414,2.00599,1.36213,0.24318,0.51878,0.23744,0.12828,1.46431,1.8302,1.36369,0.000653068,0.000653068,0.0340271
3,452.97,1.53561,1.94371,1.32386,0.20594,0.46426,0.19672,0.10489,1.39194,1.89976,1.32257,0.000960009,0.000960009,0.00100071
4,574.526,1.47448,1.86308,1.28714,0.23999,0.58277,0.26942,0.14727,1.38088,1.74595,1.30711,0.0009406,0.0009406,0.0009406
5,696.121,1.44125,1.82542,1.26494,0.24266,0.56323,0.27438,0.15393,1.32101,1.7337,1.26283,0.0009208,0.0009208,0.0009208
6,816.687,1.39959,1.77358,1.24527,0.25238,0.54001,0.2836,0.16743,1.27985,1.66991,1.2409,0.000901,0.000901,0.000901
7,889.115,1.37151,1.74476,1.22997,0.26,0.54429,0.28836,0.17454,1.23184,1.6264,1.21923,0.0008812,0.0008812,0.0008812
8,961.083,1.36688,1.72689,1.22643,0.25581,0.57728,0.2946,0.17214,1.24386,1.6252,1.21585,0.0008614,0.0008614,0.0008614
9,1032.65,1.34229,1.71283,1.21028,0.25065,0.61148,0.28761,0.17205,1.22318,1.61198,1.22077,0.0008416,0.0008416,0.0008416
10,1104.27,1.32994,1.68638,1.20315,0.24591,0.62981,0.28728,0.16683,1.22484,1.62539,1.20023,0.0008218,0.0008218,0.0008218
11,1175.86,1.30831,1.65667,1.18814,0.25382,0.60049,0.299,0.17771,1.21363,1.58046,1.19886,0.000802,0.000802,0.000802
12,1254.59,1.30596,1.65871,1.1884,0.24934,0.63103,0.29845,0.17712,1.24348,1.60029,1.21051,0.0007822,0.0007822,0.0007822
13,1326.33,1.29131,1.65529,1.17869,0.24897,0.60843,0.3016,0.18289,1.19598,1.56927,1.19634,0.0007624,0.0007624,0.0007624
14,1407.39,1.28035,1.63717,1.1759,0.24645,0.56261,0.3037,0.18587,1.18768,1.56572,1.18125,0.0007426,0.0007426,0.0007426
15,1487.34,1.27383,1.62595,1.17132,0.24191,0.68296,0.31639,0.19227,1.15608,1.53573,1.16726,0.0007228,0.0007228,0.0007228
16,1564.66,1.24491,1.6047,1.15814,0.24885,0.66078,0.30962,0.1921,1.17341,1.52954,1.18085,0.000703,0.000703,0.000703
17,1637.78,1.25893,1.61561,1.15817,0.25241,0.64875,0.30605,0.18933,1.14814,1.52635,1.15943,0.0006832,0.0006832,0.0006832
18,1709.35,1.25164,1.60603,1.16056,0.25681,0.6518,0.31202,0.19537,1.15128,1.50609,1.16592,0.0006634,0.0006634,0.0006634
